Chromosome/scaffold name,Strand,Transcript start (bp),Transcript end (bp),5' UTR end,3' UTR start,Gene stable ID,Gene name,Transcript stable ID,Protein stable ID
I,1,3466459,3470168,3466833,,SPAC3A11.03,efm3,SPAC3A11.03.1,SPAC3A11.03.1:pep
I,1,3466459,3470168,,3467836,SPAC3A11.03,efm3,SPAC3A11.03.1,SPAC3A11.03.1:pep
I,1,3466459,3470168,,3468032,SPAC3A11.03,efm3,SPAC3A11.03.1,SPAC3A11.03.1:pep
I,-1,3478390,3479049,,,SPNCRNA.529,SPNCRNA.529,SPNCRNA.529.1,
I,1,3494642,3496476,3494709,,SPAC328.09,SPAC328.09,SPAC328.09.1,SPAC328.09.1:pep
I,1,3494642,3496476,,3495878,SPAC328.09,SPAC328.09,SPAC328.09.1,SPAC328.09.1:pep
I,-1,3505603,3507057,3507057,,SPAC16E8.04c,aro7,SPAC16E8.04c.1,SPAC16E8.04c.1:pep
I,-1,3505603,3507057,,3505603,SPAC16E8.04c,aro7,SPAC16E8.04c.1,SPAC16E8.04c.1:pep
I,-1,3507198,3508537,3508537,,SPAC16E8.05c,mde1,SPAC16E8.05c.1,SPAC16E8.05c.1:pep
I,-1,3507198,3508537,,3507198,SPAC16E8.05c,mde1,SPAC16E8.05c.1,SPAC16E8.05c.1:pep
I,-1,3510331,3513032,3513032,,SPAC16E8.07c,vph1,SPAC16E8.07c.1,SPAC16E8.07c.1:pep
I,-1,3510331,3513032,,,SPAC16E8.07c,vph1,SPAC16E8.07c.1,SPAC16E8.07c.1:pep
I,-1,3510331,3513032,,3510331,SPAC16E8.07c,vph1,SPAC16E8.07c.1,SPAC16E8.07c.1:pep
I,1,3513971,3515415,3514028,,SPAC16E8.08,pos1,SPAC16E8.08.1,SPAC16E8.08.1:pep
I,1,3513971,3515415,,3514895,SPAC16E8.08,pos1,SPAC16E8.08.1,SPAC16E8.08.1:pep
I,1,3527949,3529446,3528158,,SPAC16E8.15,tif45,SPAC16E8.15.1,SPAC16E8.15.1:pep
I,1,3527949,3529446,,,SPAC16E8.15,tif45,SPAC16E8.15.1,SPAC16E8.15.1:pep
I,1,3527949,3529446,,3529018,SPAC16E8.15,tif45,SPAC16E8.15.1,SPAC16E8.15.1:pep
I,-1,3554534,3556722,3556722,,SPAC17A2.03c,vma6,SPAC17A2.03c.1,SPAC17A2.03c.1:pep
I,-1,3554534,3556722,,3554534,SPAC17A2.03c,vma6,SPAC17A2.03c.1,SPAC17A2.03c.1:pep
I,1,3560508,3562931,3560730,,SPAC17A2.05,osm1,SPAC17A2.05.1,SPAC17A2.05.1:pep
I,1,3560508,3562931,,3562588,SPAC17A2.05,osm1,SPAC17A2.05.1,SPAC17A2.05.1:pep
I,-1,3562948,3566829,,3562948,SPAC17A2.06c,vps8,SPAC17A2.06c.1,SPAC17A2.06c.1:pep
I,1,3578771,3583005,3580222,3582917,SPAC17A2.12,rrp1,SPAC17A2.12.1,SPAC17A2.12.1:pep
I,1,3590440,3595067,3593054,3594963,SPAC17G6.03,SPAC17G6.03,SPAC17G6.03.1,SPAC17G6.03.1:pep
I,-1,3596387,3598863,3598863,3596387,SPAC17G6.05c,bro1,SPAC17G6.05c.1,SPAC17G6.05c.1:pep
I,1,3599034,3599783,3599102,,SPAC17G6.06,rps2401,SPAC17G6.06.1,SPAC17G6.06.1:pep
I,1,3599034,3599783,,3599577,SPAC17G6.06,rps2401,SPAC17G6.06.1,SPAC17G6.06.1:pep
I,-1,3607395,3611122,3611122,3607395,SPAC17G6.11c,SPAC17G6.11c,SPAC17G6.11c.1,SPAC17G6.11c.1:pep
I,1,3610148,3611124,,,SPNCRNA.227,SPNCRNA.227,SPNCRNA.227.1,
I,1,3612082,3614883,3612123,,SPAC17G6.12,cul1,SPAC17G6.12.1,SPAC17G6.12.1:pep
I,1,3612082,3614883,,,SPAC17G6.12,cul1,SPAC17G6.12.1,SPAC17G6.12.1:pep
I,1,3612082,3614883,,,SPAC17G6.12,cul1,SPAC17G6.12.1,SPAC17G6.12.1:pep
I,1,3612082,3614883,,,SPAC17G6.12,cul1,SPAC17G6.12.1,SPAC17G6.12.1:pep
I,1,3612082,3614883,,,SPAC17G6.12,cul1,SPAC17G6.12.1,SPAC17G6.12.1:pep
I,1,3615585,3617100,3615625,3616928,SPAC17G6.13,slt1,SPAC17G6.13.1,SPAC17G6.13.1:pep
I,1,3660430,3660717,,,SPAC8C9.19,SPAC8C9.19,SPAC8C9.19.1,SPAC8C9.19.1:pep
I,1,3660430,3660717,,,SPAC8C9.19,SPAC8C9.19,SPAC8C9.19.1,SPAC8C9.19.1:pep
I,1,3660430,3660717,,,SPAC8C9.19,SPAC8C9.19,SPAC8C9.19.1,SPAC8C9.19.1:pep
I,1,3688460,3691125,3688781,,SPAC15A10.06,SPAC15A10.06,SPAC15A10.06.1,SPAC15A10.06.1:pep
I,1,3688460,3691125,,,SPAC15A10.06,SPAC15A10.06,SPAC15A10.06.1,SPAC15A10.06.1:pep
I,1,3688460,3691125,,,SPAC15A10.06,SPAC15A10.06,SPAC15A10.06.1,SPAC15A10.06.1:pep
I,1,3688460,3691125,,,SPAC15A10.06,SPAC15A10.06,SPAC15A10.06.1,SPAC15A10.06.1:pep
I,-1,3692695,3694745,,,SPNCRNA.927,ain1-antisense-1,SPNCRNA.927.1,
I,1,3696549,3700027,3697507,,SPAC15A10.10,mde6,SPAC15A10.10.1,SPAC15A10.10.1:pep
I,1,3696549,3700027,,,SPAC15A10.10,mde6,SPAC15A10.10.1,SPAC15A10.10.1:pep
I,1,3696549,3700027,,,SPAC15A10.10,mde6,SPAC15A10.10.1,SPAC15A10.10.1:pep
I,1,3696549,3700027,,,SPAC15A10.10,mde6,SPAC15A10.10.1,SPAC15A10.10.1:pep
I,1,3696549,3700027,,,SPAC15A10.10,mde6,SPAC15A10.10.1,SPAC15A10.10.1:pep
I,1,3696549,3700027,,3699838,SPAC15A10.10,mde6,SPAC15A10.10.1,SPAC15A10.10.1:pep
I,-1,3732641,3733195,,,SPNCRNA.932,SPAC15E1.10-antisense-1,SPNCRNA.932.1,
I,1,3768290,3768363,,,SPATRNAILE.03,SPATRNAILE.03,SPATRNAILE.03.1,
I,1,3769525,3770016,,,SPNCRNA.233,SPNCRNA.233,SPNCRNA.233.1,
I,1,3777192,3777265,,,SPATRNAALA.05,SPATRNAALA.05,SPATRNAALA.05.1,
I,1,3790912,3791756,3790979,,SPAP4C9.02,emc5,SPAP4C9.02.1,SPAP4C9.02.1:pep
I,1,3790912,3791756,,3791343,SPAP4C9.02,emc5,SPAP4C9.02.1,SPAP4C9.02.1:pep
I,1,3799045,3801693,3799243,,SPAC1556.03,azr1,SPAC1556.03.1,SPAC1556.03.1:pep
I,1,3799045,3801693,,,SPAC1556.03,azr1,SPAC1556.03.1,SPAC1556.03.1:pep
I,1,3799045,3801693,,3800242,SPAC1556.03,azr1,SPAC1556.03.1,SPAC1556.03.1:pep
I,-1,3799092,3801110,3801110,,SPAC1556.04c,cdd1,SPAC1556.04c.1,SPAC1556.04c.1:pep
I,-1,3799092,3801110,,,SPAC1556.04c,cdd1,SPAC1556.04c.1,SPAC1556.04c.1:pep
I,-1,3799092,3801110,,,SPAC1556.04c,cdd1,SPAC1556.04c.1,SPAC1556.04c.1:pep
I,-1,3799092,3801110,,,SPAC1556.04c,cdd1,SPAC1556.04c.1,SPAC1556.04c.1:pep
I,-1,3799092,3801110,,3799092,SPAC1556.04c,cdd1,SPAC1556.04c.1,SPAC1556.04c.1:pep
I,-1,3812962,3815706,3815706,,SPAC1F12.06c,SPAC1F12.06c,SPAC1F12.06c.1,SPAC1F12.06c.1:pep
I,-1,3812962,3815706,,3812962,SPAC1F12.06c,SPAC1F12.06c,SPAC1F12.06c.1,SPAC1F12.06c.1:pep
I,-1,3822105,3822365,,,SPAC4H3.17,SPAC4H3.17,SPAC4H3.17.1,SPAC4H3.17.1:pep
I,1,3843366,3844124,3843415,,SPAC4H3.09,SPAC4H3.09,SPAC4H3.09.1,SPAC4H3.09.1:pep
I,1,3843366,3844124,,,SPAC4H3.09,SPAC4H3.09,SPAC4H3.09.1,SPAC4H3.09.1:pep
I,1,3843366,3844124,,3844023,SPAC4H3.09,SPAC4H3.09,SPAC4H3.09.1,SPAC4H3.09.1:pep
I,-1,3847958,3850921,3850921,3847958,SPAC4H3.11c,ppc89,SPAC4H3.11c.1,SPAC4H3.11c.1:pep
I,1,3851024,3851310,,,SPNCRNA.942,SPNCRNA.942,SPNCRNA.942.1,
I,1,3878007,3881812,3881344,3881663,SPAC1071.13,SPAC1071.13,SPAC1071.13.1,SPAC1071.13.1:pep
I,1,3884439,3887309,3884543,,SPAC926.02,SPAC926.02,SPAC926.02.1,SPAC926.02.1:pep
I,1,3884439,3887309,,3886032,SPAC926.02,SPAC926.02,SPAC926.02.1,SPAC926.02.1:pep
I,-1,3886097,3886270,,,SPAC926.10,new9,SPAC926.10.1,SPAC926.10.1:pep
I,-1,3896266,3897252,3897252,,SPAC926.07c,dlc2,SPAC926.07c.1,SPAC926.07c.1:pep
I,-1,3896266,3897252,,,SPAC926.07c,dlc2,SPAC926.07c.1,SPAC926.07c.1:pep
I,-1,3896266,3897252,,,SPAC926.07c,dlc2,SPAC926.07c.1,SPAC926.07c.1:pep
I,-1,3896266,3897252,,,SPAC926.07c,dlc2,SPAC926.07c.1,SPAC926.07c.1:pep
I,-1,3896266,3897252,,3896266,SPAC926.07c,dlc2,SPAC926.07c.1,SPAC926.07c.1:pep
I,-1,3907439,3908904,3908904,,SPAC323.01c,pos5,SPAC323.01c.1,SPAC323.01c.1:pep
I,-1,3907439,3908904,,3907439,SPAC323.01c,pos5,SPAC323.01c.1,SPAC323.01c.1:pep
I,-1,3909254,3910426,3910426,,SPAC323.02c,pup2,SPAC323.02c.1,SPAC323.02c.1:pep
I,-1,3909254,3910426,,,SPAC323.02c,pup2,SPAC323.02c.1,SPAC323.02c.1:pep
I,-1,3909254,3910426,,,SPAC323.02c,pup2,SPAC323.02c.1,SPAC323.02c.1:pep
I,-1,3909254,3910426,,3909254,SPAC323.02c,pup2,SPAC323.02c.1,SPAC323.02c.1:pep
I,1,3921018,3921711,3921075,,SPAC323.08,rmp1,SPAC323.08.1,SPAC323.08.1:pep
I,1,3922354,3923496,,3923314,SPAC2F3.01,imt1,SPAC2F3.01.1,SPAC2F3.01.1:pep
I,-1,3925533,3927349,3927349,3925533,SPAC2F3.03c,rpa49,SPAC2F3.03c.1,SPAC2F3.03c.1:pep
I,-1,3927451,3928579,3928579,,SPAC2F3.04c,rim1,SPAC2F3.04c.1,SPAC2F3.04c.1:pep
I,-1,3927451,3928579,,3927451,SPAC2F3.04c,rim1,SPAC2F3.04c.1,SPAC2F3.04c.1:pep
I,-1,3936949,3940336,,,SPNCRNA.949,sut1-antisense-1,SPNCRNA.949.1,
I,-1,3942040,3942965,3942965,,SPAC2F3.18c,SPAC2F3.18c,SPAC2F3.18c.1,SPAC2F3.18c.1:pep
I,-1,3942040,3942965,,,SPAC2F3.18c,SPAC2F3.18c,SPAC2F3.18c.1,SPAC2F3.18c.1:pep
I,-1,3942040,3942965,,3942040,SPAC2F3.18c,SPAC2F3.18c,SPAC2F3.18c.1,SPAC2F3.18c.1:pep
I,-1,3969366,3971294,3971294,3969366,SPAC11G7.05c,mct1,SPAC11G7.05c.1,SPAC11G7.05c.1:pep
I,-1,3996423,4000424,,,SPAPB15E9.03c,Tf2-5,SPAPB15E9.03c.1,SPAPB15E9.03c.1:pep
I,1,4001693,4003982,4001885,,SPAC27E2.01,SPAC27E2.01,SPAC27E2.01.1,SPAC27E2.01.1:pep
I,1,4001693,4003982,,,SPAC27E2.01,SPAC27E2.01,SPAC27E2.01.1,SPAC27E2.01.1:pep
I,1,4001693,4003982,,4003515,SPAC27E2.01,SPAC27E2.01,SPAC27E2.01.1,SPAC27E2.01.1:pep
I,-1,4004553,4005632,,,SPNCRNA.955,SPAC27E2.02-antisense-1,SPNCRNA.955.1,
I,-1,4008075,4010224,4010224,4008075,SPAC27E2.11c,SPAC27E2.11c,SPAC27E2.11c.1,SPAC27E2.11c.1:pep
I,1,4047209,4049353,4047933,,SPAC19G12.03,cda1,SPAC19G12.03.1,SPAC19G12.03.1:pep
I,1,4047209,4049353,4048140,4049104,SPAC19G12.03,cda1,SPAC19G12.03.1,SPAC19G12.03.1:pep
I,-1,4066258,4066971,,,SPAC19G12.17,erh1,SPAC19G12.17.1,SPAC19G12.17.1:pep
I,-1,4066258,4066971,,,SPAC19G12.17,erh1,SPAC19G12.17.1,SPAC19G12.17.1:pep
I,-1,4066258,4066971,,,SPAC19G12.17,erh1,SPAC19G12.17.1,SPAC19G12.17.1:pep
I,-1,4066258,4066971,,,SPAC19G12.17,erh1,SPAC19G12.17.1,SPAC19G12.17.1:pep
I,-1,4066258,4066971,,,SPAC19G12.17,erh1,SPAC19G12.17.1,SPAC19G12.17.1:pep
I,-1,4066258,4066971,,,SPAC19G12.17,erh1,SPAC19G12.17.1,SPAC19G12.17.1:pep
I,-1,4081483,4083493,4083493,,SPAC23A1.02c,SPAC23A1.02c,SPAC23A1.02c.1,SPAC23A1.02c.1:pep
I,1,4119431,4121874,4119898,,SPAC26H5.03,pcf2,SPAC26H5.03.1,SPAC26H5.03.1:pep
I,1,4119431,4121874,,,SPAC26H5.03,pcf2,SPAC26H5.03.1,SPAC26H5.03.1:pep
I,1,4119431,4121874,,,SPAC26H5.03,pcf2,SPAC26H5.03.1,SPAC26H5.03.1:pep
I,1,4119431,4121874,,4121639,SPAC26H5.03,pcf2,SPAC26H5.03.1,SPAC26H5.03.1:pep
I,-1,4119468,4120689,,,SPNCRNA.959,pcf2-antisense-1,SPNCRNA.959.1,
I,-1,4123495,4124888,,,SPNCRNA.960,SPAC26H5.04-antisense-1,SPNCRNA.960.1,
I,1,4173674,4176378,4174058,,SPAC25B8.11,SPAC25B8.11,SPAC25B8.11.1,SPAC25B8.11.1:pep
I,1,4173674,4176378,,4176070,SPAC25B8.11,SPAC25B8.11,SPAC25B8.11.1,SPAC25B8.11.1:pep
I,-1,4176460,4178343,4178343,4176460,SPAC25B8.12c,SPAC25B8.12c,SPAC25B8.12c.1,SPAC25B8.12c.1:pep
I,1,4191410,4192157,4191612,4191979,SPAC25B8.18,SPAC25B8.18,SPAC25B8.18.1,SPAC25B8.18.1:pep
I,-1,4198688,4200078,,,SPNCRNA.970,SPNCRNA.970,SPNCRNA.970.1,
I,1,4200148,4205612,4200184,4205339,SPAC694.02,SPAC694.02,SPAC694.02.1,SPAC694.02.1:pep
I,-1,4208428,4208903,4208903,,SPAC694.05c,rps2502,SPAC694.05c.1,SPAC694.05c.1:pep
I,-1,4208428,4208903,,,SPAC694.05c,rps2502,SPAC694.05c.1,SPAC694.05c.1:pep
I,-1,4208428,4208903,,4208428,SPAC694.05c,rps2502,SPAC694.05c.1,SPAC694.05c.1:pep
I,-1,4222648,4222893,,,SPAC1F7.14c,tam6,SPAC1F7.14c.1,SPAC1F7.14c.1:pep
I,1,4254672,4255695,4254859,4255490,SPAC21E11.04,aca1,SPAC21E11.04.1,SPAC21E11.04.1:pep
I,-1,4259371,4259795,,,SPNCRNA.13,prl13,SPNCRNA.13.1,
I,-1,4269109,4270937,4270937,,SPAC2C4.06c,SPAC2C4.06c,SPAC2C4.06c.1,SPAC2C4.06c.1:pep
I,-1,4269109,4270937,,,SPAC2C4.06c,SPAC2C4.06c,SPAC2C4.06c.1,SPAC2C4.06c.1:pep
I,-1,4269109,4270937,,4269109,SPAC2C4.06c,SPAC2C4.06c,SPAC2C4.06c.1,SPAC2C4.06c.1:pep
I,-1,4286744,4287454,4287454,4286744,SPAC2C4.16c,rps801,SPAC2C4.16c.1,SPAC2C4.16c.1:pep
I,1,4291999,4292912,,,SPNCRNA.974,SPNCRNA.974,SPNCRNA.974.1,
I,1,4294279,4294816,,,SPNCRNA.976,SPNCRNA.976,SPNCRNA.976.1,
I,-1,4306511,4310340,4310340,4306511,SPAC25G10.07c,cut7,SPAC25G10.07c.1,SPAC25G10.07c.1:pep
I,-1,4333135,4336797,4336797,,SPAC27F1.09c,prp10,SPAC27F1.09c.1,SPAC27F1.09c.1:pep
I,-1,4333135,4336797,,,SPAC27F1.09c,prp10,SPAC27F1.09c.1,SPAC27F1.09c.1:pep
I,-1,4333135,4336797,,4333135,SPAC27F1.09c,prp10,SPAC27F1.09c.1,SPAC27F1.09c.1:pep
I,-1,4386842,4392522,4392522,4386842,SPAC30.01c,sec72,SPAC30.01c.1,SPAC30.01c.1:pep
I,1,4400686,4401605,,,SPNCRNA.246,SPNCRNA.246,SPNCRNA.246.1,
I,1,4400708,4401528,,,SPNCRNA.985,SPNCRNA.985,SPNCRNA.985.1,
I,1,4424582,4427095,,,SPNCRNA.986,srp2-antisense-1,SPNCRNA.986.1,
I,-1,4424648,4427046,4427046,,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4424648,4427046,,,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4424648,4427046,,,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4424648,4427046,,,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4424648,4427046,,,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4424648,4427046,,,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4424648,4427046,,,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4424648,4427046,,,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4424648,4427046,,,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4424648,4427046,,4424648,SPAC16.02c,srp2,SPAC16.02c.1,SPAC16.02c.1:pep
I,-1,4431869,4434012,4434012,4431869,SPAC16.05c,sfp1,SPAC16.05c.1,SPAC16.05c.1:pep
I,1,4472472,4474744,4472610,,SPAC17C9.16c,mfs1,SPAC17C9.16c.1,SPAC17C9.16c.1:pep
I,1,4472472,4474744,,4474260,SPAC17C9.16c,mfs1,SPAC17C9.16c.1,SPAC17C9.16c.1:pep
I,1,4475148,4476658,4475289,4475575,SPAC17C9.15c,SPAC17C9.15c,SPAC17C9.15c.1,SPAC17C9.15c.1:pep
I,-1,4477935,4479970,4479970,,SPAC17C9.12,scs22,SPAC17C9.12.1,SPAC17C9.12.1:pep
I,-1,4477935,4479970,,,SPAC17C9.12,scs22,SPAC17C9.12.1,SPAC17C9.12.1:pep
I,-1,4477935,4479970,,4477935,SPAC17C9.12,scs22,SPAC17C9.12.1,SPAC17C9.12.1:pep
I,-1,4484695,4486171,4486171,,SPAC17C9.08,pnu1,SPAC17C9.08.1,SPAC17C9.08.1:pep
I,-1,4484695,4486171,,,SPAC17C9.08,pnu1,SPAC17C9.08.1,SPAC17C9.08.1:pep
I,-1,4484695,4486171,,4484695,SPAC17C9.08,pnu1,SPAC17C9.08.1,SPAC17C9.08.1:pep
I,-1,4491952,4496637,4496637,4491952,SPAC17C9.03,tif471,SPAC17C9.03.1,SPAC17C9.03.1:pep
I,-1,4507217,4509970,4509970,4507217,SPAC27D7.02c,SPAC27D7.02c,SPAC27D7.02c.1,SPAC27D7.02c.1:pep
I,-1,4517810,4518562,4518562,4517810,SPAC27D7.05c,apc14,SPAC27D7.05c.1,SPAC27D7.05c.1:pep
I,1,4551740,4553741,4551850,4553555,SPAC637.07,moe1,SPAC637.07.1,SPAC637.07.1:pep
I,1,4555184,4557390,4555398,4557295,SPAC637.09,SPAC637.09,SPAC637.09.1,SPAC637.09.1:pep
I,-1,4563609,4565468,4565468,4563609,SPAC637.13c,slm1,SPAC637.13c.1,SPAC637.13c.1:pep
I,-1,4570305,4575656,4575656,4570305,SPAC12B10.01c,SPAC12B10.01c,SPAC12B10.01c.1,SPAC12B10.01c.1:pep
I,-1,4576187,4577002,4577002,4576187,SPAC12B10.02c,SPAC12B10.02c,SPAC12B10.02c.1,SPAC12B10.02c.1:pep
I,1,4596234,4597380,4596438,,SPAC12B10.13,gid8,SPAC12B10.13.1,SPAC12B10.13.1:pep
I,1,4596234,4597380,,,SPAC12B10.13,gid8,SPAC12B10.13.1,SPAC12B10.13.1:pep
I,1,4596234,4597380,,4597270,SPAC12B10.13,gid8,SPAC12B10.13.1,SPAC12B10.13.1:pep
I,-1,4604880,4606871,4606871,4604880,SPAC1093.07,SPAC1093.07,SPAC1093.07.1,SPAC1093.07.1:pep
I,-1,4640549,4642326,4642326,4640549,SPAC30C2.06c,dml1,SPAC30C2.06c.1,SPAC30C2.06c.1:pep
I,-1,4647230,4649094,,,SPNCRNA.1008,SPNCRNA.1008,SPNCRNA.1008.1,
I,-1,4651351,4651792,,,SPNCRNA.46,prl46,SPNCRNA.46.1,
I,-1,4671423,4673090,4673090,4671423,SPAC144.10c,gwt1,SPAC144.10c.1,SPAC144.10c.1:pep
I,-1,4681470,4685737,4685737,,SPAC144.15c,cog1,SPAC144.15c.1,SPAC144.15c.1:pep
I,-1,4681470,4685737,4685465,4681470,SPAC144.15c,cog1,SPAC144.15c.1,SPAC144.15c.1:pep
I,-1,4698773,4699544,4699544,4698773,SPAC1834.03c,hhf1,SPAC1834.03c.1,SPAC1834.03c.1:pep
I,1,4733588,4734102,,,SPNCRNA.1019,SPAC458.02c-antisense-1,SPNCRNA.1019.1,
I,-1,4760053,4761239,4761239,,SPAC1782.02c,SPAC1782.02c,SPAC1782.02c.1,SPAC1782.02c.1:pep
I,-1,4760053,4761239,,4760053,SPAC1782.02c,SPAC1782.02c,SPAC1782.02c.1,SPAC1782.02c.1:pep
I,-1,4765618,4766877,4766877,4765618,SPAC1782.06c,phb1,SPAC1782.06c.1,SPAC1782.06c.1:pep
I,1,4767042,4767986,4767109,,SPAC1782.07,qcr8,SPAC1782.07.1,SPAC1782.07.1:pep
I,1,4767042,4767986,,,SPAC1782.07,qcr8,SPAC1782.07.1,SPAC1782.07.1:pep
I,1,4767042,4767986,,,SPAC1782.07,qcr8,SPAC1782.07.1,SPAC1782.07.1:pep
I,1,4767042,4767986,,4767726,SPAC1782.07,qcr8,SPAC1782.07.1,SPAC1782.07.1:pep
I,-1,4779020,4780284,4780284,,SPAC11H11.03c,SPAC11H11.03c,SPAC11H11.03c.1,SPAC11H11.03c.1:pep
I,-1,4779020,4780284,,,SPAC11H11.03c,SPAC11H11.03c,SPAC11H11.03c.1,SPAC11H11.03c.1:pep
I,-1,4779020,4780284,,,SPAC11H11.03c,SPAC11H11.03c,SPAC11H11.03c.1,SPAC11H11.03c.1:pep
I,-1,4779020,4780284,,4779020,SPAC11H11.03c,SPAC11H11.03c,SPAC11H11.03c.1,SPAC11H11.03c.1:pep
I,-1,4782047,4782273,,,SPAC11H11.05c,fta6,SPAC11H11.05c.1,SPAC11H11.05c.1:pep
I,-1,4782047,4782273,,,SPAC11H11.05c,fta6,SPAC11H11.05c.1,SPAC11H11.05c.1:pep
I,-1,4788494,4788895,,,SPAC22F8.03c,SPAC22F8.03c,SPAC22F8.03c.1,SPAC22F8.03c.1:pep
I,-1,4840485,4843723,4843723,,SPAC4F10.07c,atg13,SPAC4F10.07c.1,SPAC4F10.07c.1:pep
I,-1,4840485,4843723,,,SPAC4F10.07c,atg13,SPAC4F10.07c.1,SPAC4F10.07c.1:pep
I,-1,4840485,4843723,,4840485,SPAC4F10.07c,atg13,SPAC4F10.07c.1,SPAC4F10.07c.1:pep
I,-1,4878579,4880798,4880798,4878579,SPAC19B12.02c,gas1,SPAC19B12.02c.1,SPAC19B12.02c.1:pep
I,-1,4904221,4906394,,,SPAC19B12.12c,yip11,SPAC19B12.12c.1,SPAC19B12.12c.1:pep
I,-1,4904221,4906394,,,SPAC19B12.12c,yip11,SPAC19B12.12c.1,SPAC19B12.12c.1:pep
I,-1,4904221,4906394,,4904221,SPAC19B12.12c,yip11,SPAC19B12.12c.1,SPAC19B12.12c.1:pep
I,1,4924227,4926065,4924263,,SPAPB8E5.09,rvb1,SPAPB8E5.09.1,SPAPB8E5.09.1:pep
I,1,4924227,4926065,,4925688,SPAPB8E5.09,rvb1,SPAPB8E5.09.1,SPAPB8E5.09.1:pep
I,-1,4944132,4945814,,4944132,SPAC1B3.09c,SPAC1B3.09c,SPAC1B3.09c.1,SPAC1B3.09c.1:pep
I,-1,4948541,4950238,4950238,,SPAC1B3.11c,ypt4,SPAC1B3.11c.1,SPAC1B3.11c.1:pep
I,-1,4948541,4950238,,4948541,SPAC1B3.11c,ypt4,SPAC1B3.11c.1,SPAC1B3.11c.1:pep
I,1,4964526,4966980,4965275,4966890,SPAC1B3.17,clr2,SPAC1B3.17.1,SPAC1B3.17.1:pep
I,-1,4972426,4973471,4973471,,SPAC1952.04c,SPAC1952.04c,SPAC1952.04c.1,SPAC1952.04c.1:pep
I,-1,4972426,4973471,,,SPAC1952.04c,SPAC1952.04c,SPAC1952.04c.1,SPAC1952.04c.1:pep
I,-1,4972426,4973471,,,SPAC1952.04c,SPAC1952.04c,SPAC1952.04c.1,SPAC1952.04c.1:pep
I,-1,4972426,4973471,,,SPAC1952.04c,SPAC1952.04c,SPAC1952.04c.1,SPAC1952.04c.1:pep
I,-1,4989725,4991010,4991010,4989725,SPAC1952.12c,csn71,SPAC1952.12c.1,SPAC1952.12c.1:pep
I,-1,5009787,5011504,,,SPNCRNA.1042,SPAC890.05-antisense-1,SPNCRNA.1042.1,
I,1,5018030,5018674,5018125,,SPAC890.08,rpl31,SPAC890.08.1,SPAC890.08.1:pep
I,1,5018030,5018674,,5018588,SPAC890.08,rpl31,SPAC890.08.1,SPAC890.08.1:pep
I,1,5018722,5019072,,,SPNCRNA.258,SPNCRNA.258,SPNCRNA.258.1,
I,-1,5043386,5044768,5044768,,SPAC22E12.13c,rlp24,SPAC22E12.13c.1,SPAC22E12.13c.1:pep
I,-1,5043386,5044768,,,SPAC22E12.13c,rlp24,SPAC22E12.13c.1,SPAC22E12.13c.1:pep
I,-1,5043386,5044768,,5043386,SPAC22E12.13c,rlp24,SPAC22E12.13c.1,SPAC22E12.13c.1:pep
I,-1,5045132,5045204,,,SPATRNAARG.03,SPATRNAARG.03,SPATRNAARG.03.1,
I,-1,5049155,5052429,5052429,,SPAC22E12.16c,pik1,SPAC22E12.16c.1,SPAC22E12.16c.1:pep
I,-1,5049155,5052429,,,SPAC22E12.16c,pik1,SPAC22E12.16c.1,SPAC22E12.16c.1:pep
I,-1,5049155,5052429,,,SPAC22E12.16c,pik1,SPAC22E12.16c.1,SPAC22E12.16c.1:pep
I,-1,5049155,5052429,,5049155,SPAC22E12.16c,pik1,SPAC22E12.16c.1,SPAC22E12.16c.1:pep
I,-1,5100148,5104194,5104194,,SPAC1250.01,snf21,SPAC1250.01.1,SPAC1250.01.1:pep
I,-1,5100148,5104194,,5100148,SPAC1250.01,snf21,SPAC1250.01.1,SPAC1250.01.1:pep
I,-1,5129264,5131929,5131929,5129264,SPAC29A4.10,rrn5,SPAC29A4.10.1,SPAC29A4.10.1:pep
I,1,5144133,5144206,,,SPSNORNA.15,snoR38,SPSNORNA.15.1,
I,1,5202366,5205202,5202822,5204959,SPAC19D5.01,pyp2,SPAC19D5.01.1,SPAC19D5.01.1:pep
I,-1,5221803,5226054,5226054,5221803,SPAC14C4.01c,SPAC14C4.01c,SPAC14C4.01c.1,SPAC14C4.01c.1:pep
I,-1,5226179,5230259,5230259,,SPAC14C4.02c,smc5,SPAC14C4.02c.1,SPAC14C4.02c.1:pep
I,-1,5226179,5230259,,,SPAC14C4.02c,smc5,SPAC14C4.02c.1,SPAC14C4.02c.1:pep
